Generation,DE_Mean,DE_Std,PSO_Mean,PSO_Std,ABC_Mean,ABC_Std,FA_Mean,FA_Std,CS_Mean,CS_Std,TLBO_Mean,TLBO_Std,SA_Mean,SA_Std,HC_Mean,HC_Std
0,19.729648,0.519377,19.645938,0.753890,20.017604,0.600141,19.701237,0.699201,19.735010,0.576065,19.808278,0.412629,21.168623,0.361038,21.034988,0.409706
1,19.709833,0.515397,16.989081,1.414686,19.798241,0.605615,18.971400,0.827340,19.628091,0.555793,18.135664,0.875894,20.235182,0.535763,20.443591,0.365768
2,19.641216,0.502674,12.956497,1.092522,19.626159,0.602799,18.522172,0.787763,19.444336,0.782226,16.266271,1.148010,20.005421,0.650997,20.315046,0.362914
3,19.563403,0.494479,12.769965,1.161098,19.434008,0.623088,17.923074,1.060418,19.335248,0.745298,14.542908,1.235336,19.879256,0.723916,20.243700,0.381826
4,19.509000,0.458989,11.458056,1.481686,19.229144,0.658789,17.575398,1.553779,19.264388,0.745161,13.136409,1.258610,19.753732,0.758457,20.210988,0.370674
5,19.483572,0.447601,10.729626,1.249912,19.018279,0.725986,17.432813,1.550572,19.234021,0.757587,11.778032,1.543767,19.741279,0.751418,20.190661,0.376499
6,19.460582,0.472089,10.245775,1.012172,18.766627,0.883943,17.311555,1.543348,19.175963,0.737979,10.059209,1.515462,19.719230,0.736546,20.179789,0.386408
7,19.453486,0.467532,9.598604,1.061600,18.503789,1.160051,17.237665,1.500407,19.131969,0.736244,8.492292,1.246581,19.705708,0.725451,20.165954,0.373169
8,19.445648,0.461538,8.957575,1.321705,18.220596,1.191904,16.978040,1.421263,19.041578,0.718708,7.520090,1.193181,19.660523,0.707963,20.125800,0.438214
9,19.442305,0.459246,8.269094,1.061022,17.942221,1.165990,16.829293,1.341059,18.744864,1.078232,6.360843,0.987745,19.609299,0.724541,20.122481,0.434809
10,19.416074,0.461063,7.760536,1.013612,17.667512,1.257371,16.794939,1.330706,18.609504,1.082556,5.412990,0.901504,19.563273,0.732420,20.107650,0.433852
11,19.395816,0.454249,7.352578,1.144673,17.340153,1.337385,16.751892,1.304782,18.576547,1.080175,4.758569,0.866498,19.550803,0.723288,20.102682,0.431421
12,19.380316,0.443177,7.094765,1.054031,17.005227,1.407407,16.599356,1.311866,18.498081,1.075693,4.061954,0.758005,19.540949,0.716075,20.089703,0.433613
13,19.330776,0.463150,6.521446,0.978020,16.854533,1.307487,16.509991,1.294484,18.411997,1.057096,3.558716,0.701855,19.540755,0.715863,20.081968,0.428121
