Generation,DE_Mean,DE_Std,PSO_Mean,PSO_Std,ABC_Mean,ABC_Std,FA_Mean,FA_Std,CS_Mean,CS_Std,TLBO_Mean,TLBO_Std,SA_Mean,SA_Std,HC_Mean,HC_Std
0,121.971272,24.872868,118.967185,33.738725,146.862132,32.330311,130.999640,26.656429,133.365457,21.223462,130.372200,19.463693,309.924800,79.010628,316.705550,89.835951
1,120.651620,23.225676,52.577634,12.333600,137.520430,30.974398,96.562066,14.413758,123.794007,27.602050,61.179016,16.508835,205.176241,70.825393,311.336516,89.217753
2,114.839367,25.034663,17.700550,5.079496,122.826624,30.533775,78.030672,16.303860,118.317936,31.274451,38.592190,13.712333,176.013218,57.408585,305.544887,88.207208
3,111.917383,26.775915,15.898950,3.857816,108.502858,31.477682,72.166912,16.452448,117.468180,30.910955,23.140081,6.067587,165.345826,54.693166,299.978232,87.312225
4,104.882677,25.841116,11.027148,3.888013,94.260510,29.199955,66.988240,16.391808,110.206998,31.770522,14.929158,4.329246,154.407202,52.123318,294.593453,86.446853
5,102.075998,23.588666,9.478284,3.164111,79.614032,29.172457,63.574535,15.611886,104.836084,31.329289,9.240840,2.976293,149.885475,53.084847,289.475808,86.084085
6,95.847456,22.513860,7.546028,2.240289,59.236836,22.566777,57.603901,14.958655,102.066634,31.279641,5.786041,1.836003,144.671022,45.233644,284.513263,85.725793
7,89.735704,22.857927,6.556793,1.562479,52.783437,22.881629,55.812691,15.565272,98.460659,28.234936,3.863237,1.051150,139.015853,38.955710,279.320063,85.142958
8,87.290320,20.578648,5.572836,1.611134,47.080659,21.158432,51.905141,13.993299,94.878774,25.618194,2.700287,0.565612,133.636245,40.686063,274.030328,84.311014
9,85.213344,18.583651,4.516011,1.201461,41.207789,19.239126,50.702705,14.034117,93.534199,25.285421,2.038897,0.412129,132.081220,39.069538,269.130308,83.498060
10,80.083454,18.767186,4.054735,1.160900,32.435973,19.002678,50.429354,14.048111,93.059524,25.315858,1.624172,0.286429,130.498329,38.289028,264.245326,82.829695
11,75.944636,20.223721,3.290668,0.920647,27.418646,16.841283,48.059983,13.175348,93.040628,25.315514,1.428316,0.181437,127.956612,36.384335,259.198171,81.832651
12,75.176395,20.290615,3.040926,0.685024,23.223732,14.824435,46.612802,12.623431,89.628915,21.985544,1.230282,0.108496,125.996465,35.386828,254.352303,80.482270
13,70.895395,19.579693,2.660925,0.584770,20.836259,14.265104,44.468755,12.972177,88.859808,21.530866,1.105736,0.107073,121.658269,36.139058,249.396176,79.931875
14,67.712492,19.512209,2.397305,0.521649,16.418659,12.154190,42.503241,12.274658,87.512753,20.403555,1.051120,0.093473,121.541475,36.113557,244.693170,79.073946
15,61.378882,17.975118,2.155988,0.389791,14.547865,10.809897,41.234663,11.350627,86.732400,20.541984,0.998506,0.099925,121.541475,36.113557,239.844758,78.157639
16,57.041081,16.115144,1.960241,0.361198,11.761422,10.046941,40.413534,11.970200,86.718437,20.540269,0.949018,0.107854,121.541475,36.113557,235.146909,77.615791
17,55.804163,15.552613,1.849875,0.309524,10.781231,9.918332,39.168515,10.672814,86.462192,20.118883,0.908274,0.098190,121.541475,36.113557,230.190163,76.640559
18,52.189964,14.646939,1.744919,0.311121,8.797252,7.333134,38.804025,10.548591,86.365425,20.156459,0.872081,0.112892,121.439114,35.971906,225.706586,75.815006
19,51.214090,13.680787,1.611881,0.239351,5.977656,4.279452,37.977601,9.477883,85.078059,20.075694,0.845297,0.116339,120.090747,36.379870,220.938676,74.902353
20,50.838118,13.489495,1.525768,0.238896,5.046864,3.910574,36.757501,9.594076,84.601744,19.917035,0.792113,0.102567,120.090747,36.379870,216.166138,74.235714
21,48.651551,12.524991,1.472372,0.242337,4.257246,3.266597,36.024138,9.146513,83.950349,19.032612,0.740514,0.112258,120.090747,36.379870,211.938729,73.723029
22,45.384897,12.738217,1.374146,0.162417,3.426011,2.487674,35.802444,9.191312,83.629073,18.807531,0.691364,0.098831,120.090747,36.379870,207.779277,73.015085
