Run,DE,PSO,ABC,FA,CS,TLBO,SA,HC
1,4.205756,0.507982,0.093300,3.358835,67.901222,0.075589,65.891772,24.919609
2,2.886918,0.429529,0.064147,3.301921,42.991534,0.008269,127.736064,31.151576
3,2.002129,0.037967,0.119549,2.014145,58.271027,0.000178,64.490835,16.746511
4,3.191643,0.135457,0.073157,1.842578,39.670344,0.000211,164.681318,71.099980
5,5.527862,0.210865,0.115750,2.792595,62.685741,0.001211,100.691011,37.024899
6,2.576139,0.143913,0.226379,2.189167,53.003623,0.010151,172.389458,44.038537
7,2.657815,0.096699,0.092536,1.565119,58.284706,0.009683,89.594016,51.372845
8,2.314872,0.436437,0.337784,7.037073,66.843038,0.017067,127.029577,40.592756
9,3.652381,0.167745,0.232681,2.801530,91.970171,0.000368,69.057268,33.453190
10,3.724011,0.162865,0.119174,3.665919,68.332575,0.018771,140.777148,60.643113
11,3.276192,0.140267,0.127975,1.622677,72.943341,0.017000,121.523778,15.469700
12,2.810631,0.137021,0.051998,6.694240,54.274259,0.003443,164.150806,20.524762
13,2.452423,0.220736,0.133511,1.940335,55.358862,0.010766,122.337440,25.733983
14,2.245520,0.090636,0.033116,3.833041,70.606329,0.055442,78.210734,44.470699
15,2.738687,0.085470,0.074710,1.162804,71.264122,0.071571,110.970882,31.196758
16,1.835917,0.113840,0.091940,3.839384,40.996857,0.012401,92.990507,29.353485
17,2.015123,0.042569,0.096213,8.918604,54.628571,0.000629,107.522920,29.874391
18,2.424048,0.182896,0.116384,2.254849,72.244144,0.005303,76.920931,17.815739
19,2.535262,0.116911,0.078980,6.354361,43.301616,0.000231,72.474754,21.082278
20,2.864931,0.089180,0.041705,1.973721,57.050927,0.072681,135.810185,29.686746
21,2.683155,0.068209,0.215159,2.444279,98.205704,0.036976,169.831630,47.959914
22,2.367454,0.431396,0.210760,1.528711,60.151036,0.007947,76.758947,17.074622
23,2.458493,0.239922,0.042225,1.991173,76.268895,0.047663,148.243696,72.693192
24,2.256031,0.044403,0.165241,3.024514,55.210865,0.023693,166.561984,23.102424
25,2.581844,0.158486,0.161428,5.953956,62.484112,0.086259,129.019824,47.286048
26,2.292977,0.130609,0.088818,3.388968,76.522597,0.013354,132.000017,21.921255
27,1.700730,0.149397,0.116084,2.715865,49.150857,0.000000,160.055920,26.615604
28,3.901021,0.167014,0.134319,4.313382,35.559076,0.011737,193.610841,18.653501
29,3.401871,0.091752,0.084672,5.288404,57.400985,0.014158,91.371456,5.206216
30,2.836370,0.172948,0.072115,2.280901,69.181885,0.027245,130.016707,29.829023

STATS,DE,PSO,ABC,FA,CS,TLBO,SA,HC
Mean,2.813940,0.173437,0.120394,3.403102,61.425301,0.022000,120.090747,32.886445
Std,0.779258,0.120156,0.066765,1.883761,14.172471,0.025262,36.379870,15.964345
Best,1.700730,0.037967,0.033116,1.162804,35.559076,0.000000,64.490835,5.206216
Worst,5.527862,0.507982,0.337784,8.918604,98.205704,0.086259,193.610841,72.693192
