Generation,DE_Mean,DE_Std,PSO_Mean,PSO_Std,ABC_Mean,ABC_Std,FA_Mean,FA_Std,CS_Mean,CS_Std,TLBO_Mean,TLBO_Std,SA_Mean,SA_Std,HC_Mean,HC_Std
0,109.816543,9.457563,115.815154,11.102182,122.448651,14.787719,113.324530,16.479858,113.032734,14.485956,114.827874,11.350138,185.555975,36.820004,187.874906,24.312849
1,108.422189,10.359242,85.822376,11.581191,113.281704,15.324969,92.919423,9.390081,108.902537,12.756980,95.609088,10.763520,138.802970,16.888017,125.568538,17.778720
2,106.393846,11.670451,70.469042,9.438691,105.942559,15.162457,86.318924,11.439086,106.606386,12.308891,83.886834,9.145753,129.002155,16.525199,119.771842,17.702947
3,105.702319,11.570367,68.473487,9.597928,99.636629,14.692669,84.744202,10.561604,104.401843,12.288066,74.497302,10.006205,122.713681,15.972269,111.885251,17.911883
4,104.100874,11.075515,66.828230,8.727208,90.960191,14.577999,83.419569,9.261728,100.468887,12.145149,69.227600,9.994155,120.916081,16.204654,108.384714,16.493167
5,102.358402,9.509453,65.304936,9.166396,84.718530,16.011553,81.723554,8.825427,95.143198,14.017626,62.949004,9.660569,119.407387,14.653061,104.800992,14.380263
6,101.149758,9.212288,62.835928,8.680161,78.978879,14.582279,81.297448,8.439088,93.223098,13.370027,59.224851,9.376380,116.333461,15.811033,102.289731,14.701766
7,99.025985,9.517779,60.098002,7.775624,73.645444,13.238988,80.190185,8.767228,90.876135,12.922202,56.346174,8.631830,113.339507,14.579370,100.199052,14.126461
8,97.719370,9.069398,57.983817,8.274542,69.628281,14.135333,78.666448,10.578673,88.654662,12.257695,53.412063,8.982721,110.019634,14.006149,97.649073,14.555443
9,96.101686,7.715795,56.635920,7.735849,66.979423,14.060152,77.308351,9.865955,84.668726,13.045467,51.255830,8.435204,109.682618,13.508607,96.775866,14.735171
