Run,DE,PSO,ABC,FA,CS,TLBO,SA,HC
1,54.001474,11.941224,2.504940,40.450991,41.491739,7.556244,92.818493,79.123791
2,57.606968,2.989667,2.119697,40.144876,6.689672,11.724181,137.112444,62.712688
3,47.835819,9.753081,1.003663,30.245338,22.331238,17.406016,103.602568,88.975373
4,50.036802,14.938035,2.236360,50.800893,21.950691,2.495317,107.417686,42.450084
5,54.323466,6.967342,3.939719,40.215386,25.064615,10.328511,110.418042,83.614274
6,46.660009,8.997403,1.790680,50.133368,47.848184,10.101126,90.301228,51.627984
7,49.964656,8.457670,2.956938,46.264188,24.164594,11.545445,115.060474,65.769664
8,37.363021,7.068915,2.043065,56.903196,17.987997,5.712382,111.665724,58.389694
9,46.920442,13.549310,3.192738,52.375222,27.216205,20.432954,108.905862,41.376175
10,46.555824,5.040480,3.171693,47.417299,44.931868,12.339947,98.557932,45.096988
11,57.627261,10.974337,2.073330,45.571671,42.882922,12.527359,101.088350,77.108928
12,44.823809,3.088488,3.122410,46.377545,25.953290,15.320303,92.923125,60.657854
13,51.473328,7.962367,5.612891,36.332339,30.051015,12.141507,99.311408,50.174670
14,38.154713,2.003342,3.135181,42.086898,41.585808,7.366802,73.232449,66.288898
15,46.925443,3.984881,2.330298,57.098022,36.866051,20.071037,80.736986,95.102328
16,42.611502,13.456337,3.315877,46.316625,38.860902,2.639201,99.343673,81.642406
17,46.820698,3.990587,1.543193,41.845802,19.030498,8.654781,92.184763,61.800349
18,44.052056,8.742330,1.061710,29.899554,16.976259,9.653311,91.966996,55.824823
19,36.378873,7.162767,3.362410,51.751608,21.995051,2.278697,104.885573,79.631409
20,44.384619,18.943437,2.761065,27.587853,29.172553,7.183291,104.944155,59.039984
21,48.203722,13.214255,3.851903,55.213902,34.884508,11.705120,93.275839,69.929642
22,50.913455,7.177158,1.528648,41.543602,50.951379,3.466118,102.515785,74.392944
23,55.310459,6.254870,2.246531,66.569738,43.878981,9.338753,99.739765,70.768785
24,54.692639,14.348879,3.463467,48.684285,48.823575,17.745402,130.537943,65.571027
25,50.488271,4.697553,2.694757,43.168841,18.023754,7.814948,95.787120,92.005500
26,49.725771,5.108478,3.890669,49.549271,43.534608,12.123654,132.922327,66.043370
27,53.515596,9.955976,3.029580,52.943644,23.930223,9.996536,114.565622,105.995608
28,60.360173,6.965283,2.801508,59.976000,30.946386,20.122044,100.073659,68.019567
29,45.908453,8.963929,1.018544,62.395546,36.968584,17.166542,99.092163,63.734306
30,58.640181,11.397630,2.987749,41.803911,13.033514,23.981587,79.396424,39.629982

STATS,DE,PSO,ABC,FA,CS,TLBO,SA,HC
Mean,49.075984,8.603200,2.693040,46.722247,30.934222,11.364637,102.146153,67.416637
Std,6.009896,4.014091,0.982393,9.127652,11.593552,5.583825,14.192238,16.085420
Best,36.378873,2.003342,1.003663,27.587853,6.689672,2.278697,73.232449,39.629982
Worst,60.360173,18.943437,5.612891,66.569738,50.951379,23.981587,137.112444,105.995608
