Generation,DE_Mean,DE_Std,PSO_Mean,PSO_Std,ABC_Mean,ABC_Std,FA_Mean,FA_Std,CS_Mean,CS_Std,TLBO_Mean,TLBO_Std,SA_Mean,SA_Std,HC_Mean,HC_Std
0,124150.330718,70488.371465,116327.146734,59622.140146,175338.306095,74279.340099,117567.248394,55214.123667,142753.286470,91388.494369,106761.046200,51729.704033,1321035.015561,693611.226873,1104797.973675,576424.299880
1,103421.701009,48070.264236,29561.485688,18870.537488,137203.275574,72241.952514,60957.677441,29752.217070,125666.798376,87208.393639,42570.647442,29057.578665,116885.103373,89644.829161,101500.216606,124682.493094
2,92589.013340,45429.991048,7367.889091,4296.654773,112546.738522,73012.285765,41537.615783,15099.932990,100248.830172,59307.775947,18660.009379,10086.518477,15891.831805,16449.137733,5790.524289,6029.124543
3,84659.840278,40964.840008,3520.891002,2310.324293,79323.772897,64624.218210,32596.863711,13628.392676,97530.108620,54764.238666,7763.537541,5931.211044,5681.457604,4765.760784,970.622168,932.274656
4,70954.594980,31916.229897,2192.968268,1505.337071,49420.443390,44148.588576,29211.492678,13636.598609,81119.540103,48304.378026,3406.134486,2744.316223,2723.261945,1326.888213,520.697576,359.201360
5,66855.474862,31851.214607,1520.685912,765.005135,33436.664341,36996.097038,26270.080737,13178.410257,77763.561999,48500.488586,1578.759269,1968.798772,1585.870297,709.754287,414.637283,316.046109
6,64411.709016,31140.442836,969.967362,558.722304,25187.534719,33609.036944,21807.764572,10395.155742,71678.388218,43823.168080,865.094977,1202.369521,1221.343043,701.667585,352.802054,300.328976
7,58433.672322,27786.697697,762.664611,439.590484,17112.313043,20774.048077,20803.712104,9938.610245,66483.591024,40081.359036,527.172165,818.469837,835.039839,599.046859,314.946130,282.571276
8,52678.219205,22874.386180,598.145373,295.829072,11198.944269,15600.676385,19480.458401,8604.350827,61222.083454,38354.094884,313.758026,618.049500,631.579213,370.231299,299.053689,259.670351
9,48024.058973,21831.373183,458.231661,264.096675,6679.615276,10578.081425,17842.573492,6334.701318,57486.705135,37253.130464,137.082328,88.642241,510.834571,314.179356,287.008015,263.610316
10,45008.328612,17521.388790,356.441359,151.990338,4733.807385,8660.183423,17284.397599,6107.738092,53194.898056,36131.406593,84.687879,41.288189,443.086281,258.134914,280.849613,261.316329
11,37113.129881,18283.801787,272.496394,119.331856,3465.995156,6531.962120,15539.851174,5831.584318,49504.012474,34159.350004,53.884341,26.732408,375.744267,236.486056,272.131086,257.463332
12,32836.980101,17196.500972,253.651930,114.991581,2604.262717,4962.034795,14688.403650,5524.997664,48151.698902,33451.796063,37.043869,13.167992,352.087273,243.675651,255.753160,235.629467
13,31959.594228,16039.627105,231.085520,109.804991,1853.425254,4313.659848,14092.141161,5880.337864,45628.241217,30103.118681,26.252022,8.649651,336.447082,230.192418,254.166017,235.681973
14,29024.022251,15427.829025,193.917379,108.345944,1301.996473,3538.489474,13291.522971,5407.901831,43223.901182,27514.524527,20.127326,6.932590,297.335045,174.896713,250.882090,230.011469
15,23994.628988,11110.523385,156.818350,84.906839,903.086426,2737.497016,12861.690270,5704.573165,42144.155974,27175.339355,15.946230,5.055570,279.809686,174.812351,240.660401,225.629470
16,23472.375339,11139.823724,136.347460,69.743194,778.795909,2543.180344,12302.871956,5774.243567,39942.475381,24711.321796,13.568755,4.260013,258.695182,184.356283,238.674527,225.931725
17,20076.989776,9230.924080,124.439819,67.407234,563.141905,1586.665962,11376.642889,5486.471601,38443.961090,24418.484211,11.446100,1.953147,253.741702,182.449045,237.593968,226.073546
18,17260.908080,8628.818531,114.943766,60.913986,469.168405,1490.569509,10307.109169,4842.689712,37592.211744,24069.643966,10.296501,1.297972,240.009014,186.899324,228.361917,224.644947
19,14606.260953,7992.215119,110.127794,60.753309,401.685258,1311.527057,9722.651914,4560.278827,35280.441957,22260.507836,9.691223,0.665479,227.300110,185.987041,221.325776,222.161494
20,13624.943480,7211.701116,99.990899,63.998081,279.909655,788.300735,9171.486720,4357.960821,34156.997814,21772.556169,9.156337,0.333027,216.533799,184.634220,217.359904,220.653017
21,12733.570973,6613.287859,94.054076,63.936090,270.676363,789.377901,8907.736804,3974.492061,32896.910250,20805.691567,8.970531,0.337417,208.361686,187.262574,216.219185,220.896211
22,10891.138800,4972.806184,84.538437,56.173260,135.666848,192.182320,8523.167347,3922.856574,31924.411641,20579.081031,8.828053,0.274421,198.686888,190.178161,207.048376,199.041775
23,10322.472447,4677.291218,79.942036,57.152527,127.198116,185.717712,8397.233746,3919.878850,31244.565983,20272.399507,8.730927,0.281895,193.677399,191.872038,201.584962,191.180078
24,9933.950992,4158.137846,76.956475,57.114459,120.589644,183.011855,8328.364735,3852.407802,30572.888261,19749.783868,8.645133,0.262019,184.484924,192.836722,198.577812,190.615000
25,9391.020379,3742.812712,68.882506,52.352431,109.286873,167.895357,8170.687381,3805.936119,29804.898559,19605.874647,8.544141,0.275065,176.964596,194.297918,194.847672,190.387380
26,8680.753364,3217.430309,66.273252,50.635551,105.592513,164.342274,8044.219416,3800.293408,28363.554899,19232.350821,8.493378,0.254723,176.388250,194.600216,191.029925,185.476004
27,7848.900030,3175.033146,58.621903,49.677229,102.682982,163.155456,7418.398845,3481.511455,27556.814242,18525.170943,8.445018,0.266929,172.998289,194.097758,190.321635,184.863890
28,7454.606342,2970.868021,55.800749,50.098720,97.524018,147.225356,6576.217856,3318.509746,26935.498180,18193.294967,8.390725,0.290147,171.321677,194.591050,189.630304,185.236345
29,6890.349574,3098.649646,54.045843,49.354399,89.985045,132.312482,6225.871483,3244.013533,25392.382652,16401.749290,8.336469,0.307952,168.896347,192.870709,183.303537,177.187813
30,6603.396856,3156.144417,52.105131,49.266390,86.768302,129.022099,5701.180612,3216.891674,24867.873428,16307.548457,8.295605,0.325436,168.528935,193.002113,182.913635,177.368669
31,6394.265282,3225.987724,51.144572,49.076303,68.963275,75.676703,5201.189528,2673.607768,24345.839015,16106.097846,8.254934,0.315364,167.754617,193.492430,178.899010,173.654776
32,5692.209764,2803.536891,48.926445,49.167963,63.640095,67.857739,5082.680213,2753.033968,23726.270648,15687.985003,8.220425,0.320700,165.549720,193.664777,174.580103,162.217354
33,5234.096599,2922.633543,46.276489,48.922737,61.035548,65.620220,4686.206540,2554.839642,22984.075393,15699.532110,8.184266,0.325197,165.004859,193.640914,169.355178,152.417077
