Run,DE,PSO,ABC,FA,CS,TLBO,SA,HC
1,533.086946,0.868566,6.808934,704.405295,830.735009,7.148060,44.184113,36.816722
2,516.131389,0.994447,56.161699,304.464161,614.040939,7.205723,46.575529,36.646396
3,612.914138,0.011063,8.544618,365.878536,862.924313,6.821825,202.791885,119.472579
4,299.742076,6.639135,0.617796,254.335625,1372.241785,7.113817,177.090567,247.476965
5,558.287929,6.468509,5.572595,661.025728,1406.219921,7.004180,31.573965,36.369724
6,274.979092,6.176000,1.979527,476.056348,1323.219791,6.431930,182.579378,120.366093
7,163.015879,80.488361,1.096737,46.574911,2302.536421,6.132003,25.328673,130.647326
8,493.124354,5.037519,2.006630,104.925879,2921.924901,7.173251,760.554106,26.600204
9,1069.514764,6.282884,2.346039,179.974994,735.924570,7.348885,34.257058,27.330939
10,225.015199,77.892410,0.237468,179.765784,86.414402,7.385302,45.787615,41.289739
11,208.109337,6.892670,5.527139,234.156314,5341.811522,7.015503,740.750046,141.442790
12,251.102015,14.739166,4.616984,448.964587,3427.022146,5.425879,271.548837,120.693806
13,485.362080,6.330335,5.500687,788.267032,2791.464535,6.595458,89.570096,233.562816
14,358.819392,3.313743,3.029706,152.200064,630.845817,7.409173,26.300732,34.278022
15,204.312886,6.481825,7.289146,68.517100,305.500502,6.736069,63.743953,200.748979
16,317.904324,4.917482,2.646166,159.633160,4834.998878,6.319230,90.735017,30.262673
17,475.863496,5.675940,0.750478,2020.817323,3665.365493,6.836777,172.783234,41.358024
18,567.917380,6.373991,7.513169,400.001240,534.585503,7.218651,72.298993,33.377909
19,215.559579,7.131793,3.712303,211.034079,356.448248,5.701171,82.350811,39.532669
20,437.111107,6.551790,4.076122,169.561868,5480.329888,7.339088,97.742613,27.260839
21,350.142151,6.707051,3.191568,771.025966,467.265442,7.280990,71.905235,217.942321
22,366.104007,6.679718,0.413327,1110.170161,4814.477447,6.277528,289.577576,34.328567
23,366.501785,5.350693,0.913547,1114.730088,855.092753,7.267384,597.807252,44.937651
24,223.212596,7.685453,5.506400,155.449076,1234.360721,7.399428,55.638451,312.732072
25,698.138022,7.745578,1.346153,407.479357,208.882899,6.781065,119.614464,133.778165
26,238.451354,1.677562,1.378265,345.524510,3721.174392,6.841026,38.055843,37.132973
27,344.565176,9.408574,0.889337,177.558709,124.603900,6.403994,48.098627,17.743317
28,717.334367,6.833121,0.215331,284.206895,237.036590,6.372310,33.240096,21.014098
29,230.048148,6.499107,1.907144,1440.297915,2683.009128,7.695519,50.226059,96.836354
30,319.313164,6.050060,5.167226,274.955391,1238.812705,7.676759,57.103001,39.693944

STATS,DE,PSO,ABC,FA,CS,TLBO,SA,HC
Mean,404.056138,10.796818,5.032075,467.065270,1846.975686,6.878599,153.993794,89.389156
Std,195.191881,18.476939,9.789860,442.494369,1669.750737,0.543382,195.891095,79.722892
Best,163.015879,0.011063,0.215331,46.574911,86.414402,5.425879,25.328673,17.743317
Worst,1069.514764,80.488361,56.161699,2020.817323,5480.329888,7.695519,760.554106,312.732072
