Generation,DE_Mean,DE_Std,PSO_Mean,PSO_Std,ABC_Mean,ABC_Std,FA_Mean,FA_Std,CS_Mean,CS_Std,TLBO_Mean,TLBO_Std,SA_Mean,SA_Std,HC_Mean,HC_Std
0,36.264296,9.384632,36.851950,7.889768,41.892585,9.693319,36.716969,7.327310,35.544012,8.137925,35.675518,7.455664,82.040837,28.421112,93.131633,24.128986
1,34.042031,9.073180,14.179304,3.444911,36.423822,8.825156,24.871835,5.949441,33.092762,8.494083,19.708882,4.732228,52.053496,15.738339,14.846053,9.217332
2,31.681818,8.516193,4.652557,1.844844,33.384226,9.357982,21.713705,5.856955,32.421470,7.743684,11.115084,3.715834,45.314261,12.621666,3.273307,2.022547
3,29.333446,7.511133,4.218139,1.297430,29.020668,8.980409,19.856089,5.054627,30.366136,6.285951,7.121340,2.064369,43.573823,11.746268,1.373919,0.479327
4,28.275245,7.013116,3.030138,0.924318,26.498874,8.659314,19.206361,4.677190,29.156203,6.797833,4.049073,1.253021,42.161284,12.081842,0.903825,0.275255
5,26.669182,6.280996,2.309831,0.651762,24.582981,8.290321,18.111244,4.154329,28.587497,6.833831,2.218104,0.842305,41.867052,12.024508,0.747492,0.210845
6,25.754850,5.631578,1.705104,0.468749,21.120976,8.160236,16.294159,3.642781,27.667568,6.515442,1.532927,0.707853,40.912893,11.977523,0.686392,0.190660
7,24.343575,5.528875,1.436000,0.405554,19.000523,7.934872,15.778464,3.402887,26.782858,5.996992,0.890697,0.459552,40.912893,11.977523,0.642070,0.150084
8,23.391894,5.350654,1.269028,0.355231,15.845501,7.928884,15.184634,3.325168,26.511458,5.887390,0.529403,0.209443,40.912893,11.977523,0.630209,0.148060
9,23.131523,5.294260,0.995649,0.235080,14.206173,6.990845,15.027604,3.276427,25.253915,6.373183,0.347653,0.163512,40.912893,11.977523,0.583397,0.147733
10,21.747204,5.021086,0.877338,0.234576,12.137702,6.764312,13.464660,3.093620,24.845735,6.247339,0.220048,0.101925,40.912893,11.977523,0.577103,0.152515
11,20.551137,5.048154,0.698656,0.241509,9.821787,6.045611,13.439144,3.100832,24.422948,6.197616,0.129444,0.074953,40.844231,11.849600,0.566677,0.158616
12,18.432114,4.264707,0.534243,0.162605,8.292949,5.832175,13.097058,2.885909,23.532749,5.988702,0.079455,0.048206,40.844231,11.849600,0.549701,0.144887
13,18.140656,4.465796,0.454861,0.156342,7.171718,5.369873,12.879748,2.903349,23.066507,5.980709,0.046800,0.026525,40.844231,11.849600,0.517035,0.128769
14,17.547576,4.450861,0.394391,0.146136,5.873531,5.042584,12.529229,2.689183,22.769995,5.889115,0.026372,0.015615,40.844231,11.849600,0.494754,0.124132
15,15.759869,3.957131,0.346103,0.138810,5.207539,4.604781,11.925897,2.788118,22.099353,5.817718,0.016727,0.011854,40.844231,11.849600,0.490439,0.119697
16,15.659604,3.928080,0.286513,0.102064,4.138858,3.995004,11.399358,2.547391,21.723739,5.800380,0.009735,0.004120,40.844231,11.849600,0.483144,0.115089
17,14.528178,3.941637,0.239081,0.104693,3.583660,3.956714,11.280183,2.527540,21.328697,5.791225,0.005781,0.002878,40.844231,11.849600,0.463087,0.113410
18,14.447777,3.958009,0.210742,0.079646,2.558077,2.970213,10.593206,2.715196,20.882363,5.831492,0.003435,0.002214,40.844231,11.849600,0.458589,0.110280
19,13.917909,3.683268,0.177993,0.072254,2.210080,2.698443,10.254432,2.895769,20.499255,5.624671,0.001972,0.001340,40.844231,11.849600,0.445719,0.114287
20,13.453159,3.378437,0.152181,0.071170,1.629891,2.444875,10.134501,2.929979,20.041933,5.636203,0.001192,0.000616,40.844231,11.849600,0.419702,0.128234
21,13.057323,3.206569,0.138709,0.066766,1.484459,2.454820,10.069572,2.901551,19.757921,5.621978,0.000800,0.000522,40.844231,11.849600,0.416041,0.124861
22,12.179757,3.003882,0.108313,0.044464,1.150034,1.843121,9.876545,2.775554,19.048776,5.516835,0.000457,0.000227,40.844231,11.849600,0.411942,0.116993
23,11.985146,2.753709,0.095747,0.040568,0.882302,1.435740,9.641333,2.707022,18.735195,5.424391,0.000265,0.000160,40.844231,11.849600,0.406346,0.120356
24,11.530583,2.793999,0.079339,0.034268,0.772883,1.242518,9.319212,2.782205,18.206589,5.245909,0.000165,0.000100,40.844231,11.849600,0.405007,0.118568
25,11.001201,2.892455,0.070489,0.029637,0.667404,1.222877,9.124579,2.917862,17.609125,5.235353,0.000095,0.000063,40.844231,11.849600,0.398853,0.117548
26,9.976676,2.718989,0.063248,0.027113,0.468375,0.819255,8.975960,2.873380,17.375093,5.168825,0.000052,0.000038,40.844231,11.849600,0.398403,0.117313
27,9.886356,2.616478,0.055307,0.028530,0.349219,0.701049,8.660239,3.015844,16.902060,5.273800,0.000030,0.000021,40.844231,11.849600,0.385432,0.121750
28,9.661445,2.752107,0.048255,0.025427,0.273448,0.464324,8.135715,3.044925,16.516210,5.221650,0.000020,0.000015,40.844231,11.849600,0.382633,0.121243
29,9.495601,2.624197,0.041147,0.019778,0.251896,0.449900,8.012524,3.013468,16.183339,5.092854,0.000012,0.000010,40.844231,11.849600,0.382633,0.121243
30,9.275077,2.503664,0.036735,0.018213,0.216266,0.369892,7.890903,3.055501,15.749284,4.896803,0.000007,0.000006,40.844231,11.849600,0.380488,0.121409
31,8.273475,2.480388,0.030224,0.013747,0.166166,0.316805,7.662817,3.081249,15.438549,4.873766,0.000004,0.000004,40.844231,11.849600,0.373134,0.111221
32,7.876976,2.399736,0.027075,0.012530,0.155619,0.313253,7.580856,3.124733,14.894532,4.670720,0.000003,0.000003,40.844231,11.849600,0.371935,0.111932
33,7.486743,2.320013,0.022943,0.011132,0.116994,0.191601,7.128741,2.884562,14.439103,4.759291,0.000002,0.000002,40.844231,11.849600,0.371935,0.111932
34,7.256067,2.299644,0.019284,0.009877,0.091595,0.139537,6.901912,2.918782,13.997538,4.528299,0.000001,0.000001,40.844231,11.849600,0.369833,0.108762
35,6.940708,2.256326,0.017143,0.008397,0.081896,0.123608,6.758150,2.709803,13.666581,4.491395,0.000001,0.000001,40.844231,11.849600,0.368200,0.107062
36,6.549772,2.298215,0.015317,0.007597,0.073850,0.112268,6.603039,2.644182,13.315314,4.595817,0.000000,0.000000,40.844231,11.849600,0.365149,0.105021
37,6.354137,2.124382,0.013274,0.007721,0.063154,0.102372,6.507163,2.609496,13.073839,4.509661,0.000000,0.000000,40.844231,11.849600,0.361874,0.103701
38,6.286307,2.054478,0.011505,0.006842,0.056713,0.095857,6.119398,2.380987,12.278031,4.158763,0.000000,0.000000,40.844231,11.849600,0.358965,0.103944
39,6.120205,1.997240,0.009782,0.006210,0.045026,0.081347,5.802411,2.439389,11.917432,4.194348,0.000000,0.000000,40.844231,11.849600,0.354601,0.100945
40,6.001325,1.884950,0.007835,0.005264,0.031069,0.044929,5.551288,2.368594,11.653343,4.173713,0.000000,0.000000,40.844231,11.849600,0.354601,0.100945
41,5.728119,1.850795,0.006603,0.004353,0.026030,0.033713,5.542738,2.369563,11.408259,4.129649,0.000000,0.000000,40.844231,11.849600,0.354552,0.100908
42,5.545692,1.755507,0.005680,0.004167,0.021704,0.029520,5.381307,2.440818,11.137885,4.035671,0.000000,0.000000,40.844231,11.849600,0.354552,0.100908
43,5.391830,1.574742,0.004945,0.003199,0.017641,0.024163,5.290108,2.429790,10.970430,4.068606,0.000000,0.000000,40.844231,11.849600,0.343621,0.104436
44,5.322293,1.525550,0.004371,0.002953,0.016290,0.023475,4.959244,1.995747,10.451637,4.039890,0.000000,0.000000,40.844231,11.849600,0.342307,0.103434
45,5.117414,1.313007,0.003682,0.002116,0.015453,0.021724,4.861687,2.058416,10.253754,4.049634,0.000000,0.000000,40.844231,11.849600,0.335281,0.093587
46,4.758406,1.152693,0.003346,0.002166,0.011829,0.016140,4.699466,1.992779,9.808398,3.821009,0.000000,0.000000,40.844231,11.849600,0.335281,0.093587
47,4.530852,1.034129,0.003072,0.001957,0.010314,0.013441,4.610450,2.028437,9.521536,3.681365,0.000000,0.000000,40.844231,11.849600,0.328502,0.100134
48,4.501696,1.046201,0.002567,0.001910,0.008726,0.010437,4.511350,2.025346,9.239781,3.607525,0.000000,0.000000,40.844231,11.849600,0.328502,0.100134
49,4.282917,0.947492,0.002306,0.001930,0.008208,0.009506,4.424253,1.914359,8.975339,3.547993,0.000000,0.000000,40.844231,11.849600,0.328502,0.100134
50,4.049133,0.931825,0.001875,0.001788,0.007970,0.009555,4.300976,1.924406,8.653166,3.408810,0.000000,0.000000,,,,
