Run,DE,PSO,ABC,FA,CS,TLBO,SA,HC
1,4.159318,0.005446,0.006724,0.779511,18.085077,0.000000,32.645811,0.239741
2,3.607661,0.002051,0.005147,5.046957,12.166351,0.000000,36.484112,0.244000
3,2.554524,0.001403,0.002409,5.856472,9.257750,0.000000,68.696945,0.262494
4,3.648090,0.000612,0.016025,3.063667,8.595539,0.000000,27.873008,0.361552
5,5.144799,0.001731,0.006887,3.487750,9.006215,0.000000,47.310361,0.272152
6,3.528545,0.003225,0.000989,2.802561,2.163179,0.000000,33.512052,0.356463
7,3.129374,0.002276,0.005834,6.123889,9.634368,0.000000,49.400248,0.136655
8,3.267008,0.001433,0.033617,3.845169,9.050703,0.000000,38.703210,0.309235
9,4.850601,0.001057,0.000536,10.262022,7.954128,0.000000,36.261471,0.285765
10,5.674074,0.001223,0.003961,4.784236,7.284197,0.000000,39.846431,0.288358
11,3.690459,0.000675,0.001256,2.960054,13.654010,0.000000,29.305584,0.471931
12,3.292753,0.001626,0.005245,5.666941,4.309085,0.000000,44.313597,0.241898
13,3.082326,0.000974,0.004899,4.581582,6.093093,0.000000,31.889794,0.300335
14,4.706038,0.000650,0.000104,3.947804,12.054945,0.000000,49.848714,0.370265
15,1.839623,0.001495,0.015208,1.904868,5.064709,0.000000,31.499586,0.418973
16,5.013196,0.001127,0.013774,5.248126,13.417396,0.000000,42.285665,0.378158
17,4.551578,0.001115,0.028435,3.410591,11.822926,0.000000,40.816008,0.311643
18,3.072263,0.001853,0.007592,4.218335,8.480347,0.000000,62.044431,0.472193
19,5.325402,0.001179,0.000456,6.322575,6.961376,0.000000,42.564253,0.406015
20,4.248990,0.000340,0.013183,2.844816,3.366645,0.000000,20.766959,0.520900
21,4.574960,0.001263,0.000839,6.842065,6.389572,0.000000,38.382697,0.312603
22,4.619064,0.000977,0.007054,2.635921,7.236092,0.000000,59.186372,0.429964
23,3.425425,0.002793,0.001248,2.641219,11.793772,0.000000,21.493788,0.366240
24,4.030033,0.000999,0.037868,3.025526,7.064127,0.000000,48.350629,0.093449
25,4.868045,0.001710,0.001845,5.492531,5.320930,0.000000,35.322724,0.437891
26,5.673092,0.002949,0.005594,2.847481,10.824965,0.000000,68.890516,0.158104
27,4.396924,0.000956,0.000872,1.998463,8.165600,0.000000,34.269727,0.253871
28,3.754521,0.001424,0.002786,7.337990,4.337482,0.000000,30.779223,0.313089
29,4.850592,0.001743,0.004815,3.361951,11.567882,0.000000,41.563544,0.430179
30,2.894696,0.009938,0.003900,5.688206,8.472517,0.000000,41.019462,0.374749

STATS,DE,PSO,ABC,FA,CS,TLBO,SA,HC
Mean,4.049133,0.001875,0.007970,4.300976,8.653166,0.000000,40.844231,0.327296
Std,0.931825,0.001788,0.009555,1.924406,3.408810,0.000000,11.849600,0.099452
Best,1.839623,0.000340,0.000104,0.779511,2.163179,0.000000,20.766959,0.093449
Worst,5.674074,0.009938,0.037868,10.262022,18.085077,0.000000,68.890516,0.520900
