Generation,GA_Mean,GA_Std,SA_Mean,SA_Std,ACO_Mean,ACO_Std,HC_Mean,HC_Std,DFS_Mean,DFS_Std
0,7.866667e+00,1.334999e+00,1.346667e+01,3.030218e+00,2.466667e+00,6.182412e-01,1.353333e+01,2.895207e+00,0.000000e+00,0.000000e+00
1,6.900000e+00,1.164760e+00,1.270000e+01,2.672702e+00,2.233333e+00,5.587685e-01,1.263333e+01,2.483054e+00,0.000000e+00,0.000000e+00
2,6.300000e+00,1.215182e+00,1.240000e+01,2.444040e+00,1.900000e+00,5.972158e-01,1.226667e+01,2.594010e+00,0.000000e+00,0.000000e+00
3,5.900000e+00,1.325393e+00,1.230000e+01,2.354428e+00,1.733333e+00,6.289321e-01,1.183333e+01,2.595937e+00,0.000000e+00,0.000000e+00
4,5.200000e+00,1.137248e+00,1.220000e+01,2.300725e+00,1.533333e+00,6.182412e-01,1.143333e+01,2.538810e+00,0.000000e+00,0.000000e+00
5,5.033333e+00,1.168570e+00,1.203333e+01,2.344971e+00,1.300000e+00,5.859465e-01,1.106667e+01,2.322834e+00,0.000000e+00,0.000000e+00
6,4.733333e+00,1.263153e+00,1.183333e+01,2.281569e+00,1.133333e+00,5.617433e-01,1.056667e+01,2.139834e+00,0.000000e+00,0.000000e+00
7,4.400000e+00,1.227464e+00,1.173333e+01,2.264705e+00,1.033333e+00,4.818944e-01,1.036667e+01,2.243262e+00,0.000000e+00,0.000000e+00
8,3.933333e+00,1.123487e+00,1.163333e+01,2.287405e+00,1.000000e+00,4.472136e-01,1.006667e+01,2.393510e+00,0.000000e+00,0.000000e+00
9,3.666667e+00,1.192570e+00,1.150000e+01,2.262005e+00,9.666667e-01,4.068852e-01,9.566667e+00,1.961009e+00,0.000000e+00,0.000000e+00
10,3.466667e+00,1.309792e+00,1.126667e+01,2.293953e+00,8.333333e-01,5.217492e-01,9.333333e+00,1.849925e+00,0.000000e+00,0.000000e+00
11,3.100000e+00,1.193035e+00,1.116667e+01,2.237310e+00,7.000000e-01,5.259911e-01,9.166667e+00,1.827263e+00,0.000000e+00,0.000000e+00
12,2.933333e+00,1.123487e+00,1.110000e+01,2.196209e+00,5.666667e-01,5.587685e-01,8.933333e+00,1.931033e+00,0.000000e+00,0.000000e+00
13,2.833333e+00,1.213352e+00,1.080000e+01,2.135416e+00,5.000000e-01,5.000000e-01,8.766667e+00,1.977934e+00,0.000000e+00,0.000000e+00
14,2.600000e+00,1.083205e+00,1.066667e+01,2.165384e+00,4.000000e-01,4.898979e-01,8.533333e+00,1.874981e+00,0.000000e+00,0.000000e+00
15,2.400000e+00,1.083205e+00,1.040000e+01,2.200000e+00,3.000000e-01,4.582576e-01,8.233333e+00,1.874092e+00,0.000000e+00,0.000000e+00
16,2.166667e+00,1.067187e+00,1.036667e+01,2.121058e+00,2.333333e-01,4.229526e-01,8.133333e+00,1.892676e+00,0.000000e+00,0.000000e+00
17,2.066667e+00,9.977753e-01,1.026667e+01,2.015496e+00,1.666667e-01,3.726780e-01,7.900000e+00,1.850225e+00,0.000000e+00,0.000000e+00
18,1.966667e+00,9.826269e-01,1.020000e+01,2.055886e+00,1.666667e-01,3.726780e-01,7.800000e+00,1.777639e+00,0.000000e+00,0.000000e+00
19,1.866667e+00,9.213517e-01,1.013333e+01,1.978776e+00,1.000000e-01,3.000000e-01,7.666667e+00,1.719173e+00,0.000000e+00,0.000000e+00
20,1.766667e+00,8.439326e-01,1.006667e+01,1.982142e+00,1.000000e-01,3.000000e-01,7.500000e+00,1.821172e+00,0.000000e+00,0.000000e+00
21,1.600000e+00,8.000000e-01,1.003333e+01,1.991370e+00,1.000000e-01,3.000000e-01,7.266667e+00,1.749921e+00,0.000000e+00,0.000000e+00
22,1.500000e+00,8.062258e-01,1.003333e+01,1.991370e+00,6.666667e-02,2.494438e-01,7.000000e+00,1.788854e+00,0.000000e+00,0.000000e+00
23,1.400000e+00,7.118052e-01,1.003333e+01,1.991370e+00,0.000000e+00,0.000000e+00,6.866667e+00,1.802467e+00,0.000000e+00,0.000000e+00
24,1.333333e+00,6.992059e-01,1.003333e+01,1.991370e+00,0.000000e+00,0.000000e+00,6.800000e+00,1.851126e+00,0.000000e+00,0.000000e+00
25,1.266667e+00,6.798693e-01,1.000000e+01,1.983263e+00,0.000000e+00,0.000000e+00,6.633333e+00,1.923250e+00,0.000000e+00,0.000000e+00
26,1.200000e+00,6.531973e-01,9.933333e+00,2.015496e+00,0.000000e+00,0.000000e+00,6.533333e+00,1.927578e+00,0.000000e+00,0.000000e+00
27,1.200000e+00,6.531973e-01,9.866667e+00,1.995551e+00,0.000000e+00,0.000000e+00,6.466667e+00,1.857118e+00,0.000000e+00,0.000000e+00
28,1.133333e+00,6.699917e-01,9.866667e+00,1.995551e+00,0.000000e+00,0.000000e+00,6.300000e+00,1.917464e+00,0.000000e+00,0.000000e+00
29,1.066667e+00,6.798693e-01,9.866667e+00,1.995551e+00,0.000000e+00,0.000000e+00,6.066667e+00,1.711400e+00,0.000000e+00,0.000000e+00
30,1.066667e+00,6.798693e-01,9.866667e+00,1.995551e+00,0.000000e+00,0.000000e+00,6.000000e+00,1.632993e+00,0.000000e+00,0.000000e+00
31,1.033333e+00,7.063207e-01,9.866667e+00,1.995551e+00,0.000000e+00,0.000000e+00,5.966667e+00,1.622412e+00,0.000000e+00,0.000000e+00
32,9.666667e-01,7.520343e-01,9.866667e+00,1.995551e+00,0.000000e+00,0.000000e+00,5.866667e+00,1.564893e+00,0.000000e+00,0.000000e+00
33,9.000000e-01,7.000000e-01,9.866667e+00,1.995551e+00,0.000000e+00,0.000000e+00,5.733333e+00,1.611073e+00,0.000000e+00,0.000000e+00
34,7.666667e-01,7.156970e-01,9.866667e+00,1.995551e+00,0.000000e+00,0.000000e+00,5.700000e+00,1.636052e+00,0.000000e+00,0.000000e+00
35,7.333333e-01,7.272475e-01,9.866667e+00,1.995551e+00,0.000000e+00,0.000000e+00,5.500000e+00,1.522060e+00,0.000000e+00,0.000000e+00
36,7.000000e-01,6.904105e-01,9.766667e+00,2.011357e+00,0.000000e+00,0.000000e+00,5.400000e+00,1.540563e+00,0.000000e+00,0.000000e+00
37,7.000000e-01,6.904105e-01,9.633333e+00,2.121058e+00,0.000000e+00,0.000000e+00,5.300000e+00,1.508863e+00,0.000000e+00,0.000000e+00
38,7.000000e-01,6.904105e-01,9.633333e+00,2.121058e+00,0.000000e+00,0.000000e+00,5.266667e+00,1.547758e+00,0.000000e+00,0.000000e+00
39,5.666667e-01,6.674995e-01,9.633333e+00,2.121058e+00,0.000000e+00,0.000000e+00,5.266667e+00,1.547758e+00,0.000000e+00,0.000000e+00
40,5.333333e-01,6.182412e-01,9.633333e+00,2.121058e+00,0.000000e+00,0.000000e+00,5.266667e+00,1.547758e+00,0.000000e+00,0.000000e+00
41,5.333333e-01,6.182412e-01,9.533333e+00,2.045048e+00,0.000000e+00,0.000000e+00,5.166667e+00,1.507389e+00,0.000000e+00,0.000000e+00
42,5.333333e-01,6.182412e-01,9.466667e+00,1.995551e+00,0.000000e+00,0.000000e+00,5.100000e+00,1.445683e+00,0.000000e+00,0.000000e+00
43,4.666667e-01,5.617433e-01,9.400000e+00,1.942507e+00,0.000000e+00,0.000000e+00,5.033333e+00,1.448754e+00,0.000000e+00,0.000000e+00
44,4.333333e-01,5.587685e-01,9.366667e+00,1.974560e+00,0.000000e+00,0.000000e+00,4.900000e+00,1.491085e+00,0.000000e+00,0.000000e+00
45,4.333333e-01,5.587685e-01,9.333333e+00,1.972027e+00,0.000000e+00,0.000000e+00,4.800000e+00,1.351542e+00,0.000000e+00,0.000000e+00
46,4.333333e-01,5.587685e-01,9.266667e+00,1.896195e+00,0.000000e+00,0.000000e+00,4.733333e+00,1.388844e+00,0.000000e+00,0.000000e+00
47,4.333333e-01,5.587685e-01,9.200000e+00,1.851126e+00,0.000000e+00,0.000000e+00,4.666667e+00,1.324974e+00,0.000000e+00,0.000000e+00
48,4.000000e-01,4.898979e-01,9.133333e+00,1.820867e+00,0.000000e+00,0.000000e+00,4.600000e+00,1.356466e+00,0.000000e+00,0.000000e+00
49,4.000000e-01,4.898979e-01,9.066667e+00,1.749921e+00,0.000000e+00,0.000000e+00,4.500000e+00,1.408309e+00,0.000000e+00,0.000000e+00
50,4.000000e-01,4.898979e-01,9.066667e+00,1.749921e+00,0.000000e+00,0.000000e+00,4.466667e+00,1.359739e+00,0.000000e+00,0.000000e+00
51,4.000000e-01,4.898979e-01,9.000000e+00,1.751190e+00,0.000000e+00,0.000000e+00,4.466667e+00,1.359739e+00,0.000000e+00,0.000000e+00
52,4.000000e-01,4.898979e-01,9.000000e+00,1.751190e+00,0.000000e+00,0.000000e+00,4.300000e+00,1.159023e+00,0.000000e+00,0.000000e+00
53,4.000000e-01,4.898979e-01,9.000000e+00,1.751190e+00,0.000000e+00,0.000000e+00,4.300000e+00,1.159023e+00,0.000000e+00,0.000000e+00
54,4.000000e-01,4.898979e-01,9.000000e+00,1.751190e+00,0.000000e+00,0.000000e+00,4.300000e+00,1.159023e+00,0.000000e+00,0.000000e+00
55,3.333333e-01,4.714045e-01,9.000000e+00,1.751190e+00,0.000000e+00,0.000000e+00,4.233333e+00,1.174261e+00,0.000000e+00,0.000000e+00
56,3.333333e-01,4.714045e-01,9.000000e+00,1.751190e+00,0.000000e+00,0.000000e+00,4.233333e+00,1.174261e+00,0.000000e+00,0.000000e+00
57,3.333333e-01,4.714045e-01,8.933333e+00,1.611073e+00,0.000000e+00,0.000000e+00,4.166667e+00,1.157104e+00,0.000000e+00,0.000000e+00
58,3.000000e-01,4.582576e-01,8.866667e+00,1.431394e+00,0.000000e+00,0.000000e+00,4.100000e+00,1.135782e+00,0.000000e+00,0.000000e+00
59,2.666667e-01,4.422166e-01,8.833333e+00,1.416176e+00,0.000000e+00,0.000000e+00,4.066667e+00,1.123487e+00,0.000000e+00,0.000000e+00
60,2.333333e-01,4.229526e-01,8.766667e+00,1.308519e+00,0.000000e+00,0.000000e+00,4.066667e+00,1.123487e+00,0.000000e+00,0.000000e+00
61,2.000000e-01,4.000000e-01,8.700000e+00,1.215182e+00,0.000000e+00,0.000000e+00,3.933333e+00,1.093415e+00,0.000000e+00,0.000000e+00
62,2.000000e-01,4.000000e-01,8.566667e+00,1.116045e+00,0.000000e+00,0.000000e+00,3.833333e+00,1.157104e+00,0.000000e+00,0.000000e+00
63,2.000000e-01,4.000000e-01,8.500000e+00,1.147461e+00,0.000000e+00,0.000000e+00,3.733333e+00,1.181336e+00,0.000000e+00,0.000000e+00
64,2.000000e-01,4.000000e-01,8.500000e+00,1.147461e+00,0.000000e+00,0.000000e+00,3.700000e+00,1.129897e+00,0.000000e+00,0.000000e+00
65,2.000000e-01,4.000000e-01,8.500000e+00,1.147461e+00,0.000000e+00,0.000000e+00,3.633333e+00,1.110055e+00,0.000000e+00,0.000000e+00
66,2.000000e-01,4.000000e-01,8.466667e+00,1.117537e+00,0.000000e+00,0.000000e+00,3.566667e+00,1.145523e+00,0.000000e+00,0.000000e+00
67,2.000000e-01,4.000000e-01,8.433333e+00,1.116045e+00,0.000000e+00,0.000000e+00,3.566667e+00,1.145523e+00,0.000000e+00,0.000000e+00
68,2.000000e-01,4.000000e-01,8.400000e+00,1.143095e+00,0.000000e+00,0.000000e+00,3.566667e+00,1.145523e+00,0.000000e+00,0.000000e+00
69,2.000000e-01,4.000000e-01,8.400000e+00,1.143095e+00,0.000000e+00,0.000000e+00,3.566667e+00,1.145523e+00,0.000000e+00,0.000000e+00
70,1.333333e-01,3.399346e-01,8.400000e+00,1.143095e+00,0.000000e+00,0.000000e+00,3.466667e+00,1.056199e+00,0.000000e+00,0.000000e+00
71,1.333333e-01,3.399346e-01,8.400000e+00,1.143095e+00,0.000000e+00,0.000000e+00,3.400000e+00,1.019804e+00,0.000000e+00,0.000000e+00
72,1.000000e-01,3.000000e-01,8.400000e+00,1.143095e+00,0.000000e+00,0.000000e+00,3.366667e+00,1.079609e+00,0.000000e+00,0.000000e+00
73,1.000000e-01,3.000000e-01,8.400000e+00,1.143095e+00,0.000000e+00,0.000000e+00,3.366667e+00,1.079609e+00,0.000000e+00,0.000000e+00
74,1.000000e-01,3.000000e-01,8.366667e+00,1.168570e+00,0.000000e+00,0.000000e+00,3.366667e+00,1.079609e+00,0.000000e+00,0.000000e+00
75,1.000000e-01,3.000000e-01,8.333333e+00,1.220200e+00,0.000000e+00,0.000000e+00,3.366667e+00,1.079609e+00,0.000000e+00,0.000000e+00
76,1.000000e-01,3.000000e-01,8.333333e+00,1.220200e+00,0.000000e+00,0.000000e+00,3.300000e+00,1.037625e+00,0.000000e+00,0.000000e+00
77,1.000000e-01,3.000000e-01,8.333333e+00,1.220200e+00,0.000000e+00,0.000000e+00,3.300000e+00,1.037625e+00,0.000000e+00,0.000000e+00
78,1.000000e-01,3.000000e-01,8.300000e+00,1.215182e+00,0.000000e+00,0.000000e+00,3.200000e+00,1.045626e+00,0.000000e+00,0.000000e+00
79,1.000000e-01,3.000000e-01,8.300000e+00,1.215182e+00,0.000000e+00,0.000000e+00,3.100000e+00,9.780934e-01,0.000000e+00,0.000000e+00
80,1.000000e-01,3.000000e-01,8.300000e+00,1.215182e+00,0.000000e+00,0.000000e+00,3.000000e+00,1.032796e+00,0.000000e+00,0.000000e+00
81,1.000000e-01,3.000000e-01,8.233333e+00,1.202313e+00,0.000000e+00,0.000000e+00,2.933333e+00,1.062492e+00,0.000000e+00,0.000000e+00
82,1.000000e-01,3.000000e-01,8.233333e+00,1.202313e+00,0.000000e+00,0.000000e+00,2.933333e+00,1.062492e+00,0.000000e+00,0.000000e+00
83,1.000000e-01,3.000000e-01,8.233333e+00,1.202313e+00,0.000000e+00,0.000000e+00,2.900000e+00,1.011599e+00,0.000000e+00,0.000000e+00
84,1.000000e-01,3.000000e-01,8.233333e+00,1.202313e+00,0.000000e+00,0.000000e+00,2.866667e+00,1.024153e+00,0.000000e+00,0.000000e+00
85,1.000000e-01,3.000000e-01,8.233333e+00,1.202313e+00,0.000000e+00,0.000000e+00,2.866667e+00,1.024153e+00,0.000000e+00,0.000000e+00
86,6.666667e-02,2.494438e-01,8.233333e+00,1.202313e+00,0.000000e+00,0.000000e+00,2.833333e+00,1.002774e+00,0.000000e+00,0.000000e+00
87,6.666667e-02,2.494438e-01,8.233333e+00,1.202313e+00,0.000000e+00,0.000000e+00,2.766667e+00,1.085766e+00,0.000000e+00,0.000000e+00
