Generation,DFS_Mean,DFS_Std,HC_Mean,HC_Std,GA_Mean,GA_Std,SA_Mean,SA_Std,PSO_Mean,PSO_Std,DE_Mean,DE_Std,ABC_Mean,ABC_Std,CS_Mean,CS_Std,FA_Mean,FA_Std,TLBO_Mean,TLBO_Std
0,783.000000,0.000000,507.366667,108.043967,708.966667,32.040062,489.900000,119.161333,718.066667,36.963886,708.500000,39.447645,697.666667,35.914095,709.066667,28.716933,710.633333,33.057005,717.200000,35.342515
1,783.000000,0.000000,519.533333,108.510440,738.466667,26.581614,512.366667,106.392194,739.100000,29.933649,732.200000,26.586212,703.400000,34.383717,726.966667,28.469262,766.866667,11.563544,743.200000,32.269077
2,783.000000,0.000000,531.666667,100.298000,771.133333,13.430645,533.966667,93.544458,760.066667,21.717786,745.200000,19.579581,708.366667,36.161198,732.800000,26.930033,781.400000,3.929377,754.766667,26.421813
3,783.000000,0.000000,546.666667,99.208311,776.900000,9.544108,553.333333,89.285808,765.566667,17.530323,748.800000,18.942721,712.266667,31.560453,739.666667,24.127900,782.800000,0.791623,769.733333,18.255471
4,783.000000,0.000000,559.200000,92.982579,780.466667,4.573353,559.966667,88.404556,772.700000,13.599387,760.733333,16.421395,713.600000,31.027515,744.900000,22.958441,782.900000,0.538516,773.700000,14.339107
5,783.000000,0.000000,584.600000,91.834489,781.866667,3.904983,567.566667,87.635108,775.166667,12.816873,769.166667,14.276048,718.300000,29.532073,746.933333,22.591936,783.000000,0.000000,778.733333,7.680856
6,783.000000,0.000000,594.300000,83.099599,782.100000,3.369965,576.833333,91.710808,780.266667,5.234076,775.133333,9.891860,720.866667,29.594744,752.100000,22.801096,783.000000,0.000000,779.733333,7.619857
7,783.000000,0.000000,607.300000,77.091353,782.700000,1.129897,584.833333,90.616070,780.766667,4.971139,777.100000,7.322795,724.400000,27.084559,752.633333,22.097486,783.000000,0.000000,782.400000,1.724336
8,783.000000,0.000000,619.633333,73.467672,783.000000,0.000000,593.100000,89.410048,781.833333,3.287180,780.033333,4.750322,724.500000,26.947789,756.466667,23.294825,783.000000,0.000000,782.466667,1.586050
9,783.000000,0.000000,632.000000,61.628457,783.000000,0.000000,599.233333,82.842696,781.966667,3.250470,781.066667,3.776536,727.600000,24.640887,757.233333,22.963280,783.000000,0.000000,782.733333,1.030642
10,783.000000,0.000000,639.533333,55.042246,783.000000,0.000000,606.066667,75.178425,782.033333,3.250470,782.200000,1.514376,731.833333,24.358549,759.900000,18.820822,783.000000,0.000000,782.733333,1.030642
11,783.000000,0.000000,644.600000,52.366401,783.000000,0.000000,612.733333,74.392622,782.033333,3.250470,782.566667,1.174261,734.200000,22.021807,760.033333,18.782054,783.000000,0.000000,782.766667,0.955103
