Run,DFS,HC,GA,SA,PSO,DE,ABC,CS,FA,TLBO
1,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
2,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
3,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.740000e+02,7.830000e+02,7.830000e+02
4,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.780000e+02,7.830000e+02,7.830000e+02,7.830000e+02
5,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
6,7.830000e+02,7.710000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.740000e+02,7.830000e+02,7.830000e+02
7,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
8,7.830000e+02,7.260000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
9,7.830000e+02,7.710000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
10,7.830000e+02,7.370000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
11,7.830000e+02,7.710000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
12,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
13,7.830000e+02,7.710000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.810000e+02,7.830000e+02,7.830000e+02
14,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
15,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02
16,7.830000e+02,7.360000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.830000e+02,7.740000e+02,7.830000e+02,7.830000e+02
