Generation,GA_Mean,GA_Std,ACO_Mean,ACO_Std,SA_Mean,SA_Std,HC_Mean,HC_Std
0,4.169051e+02,3.558827e+01,3.038265e+02,4.429011e+00,6.059071e+02,7.419067e+01,6.301739e+02,7.288882e+01
1,4.037614e+02,3.381321e+01,2.999832e+02,5.084230e-14,4.824639e+02,4.165600e+01,3.518543e+02,3.982395e+01
2,3.895655e+02,3.092899e+01,2.999832e+02,5.491596e-14,4.564028e+02,3.642076e+01,3.209259e+02,3.128157e+01
3,3.769184e+02,3.120076e+01,2.999832e+02,5.684342e-14,4.409859e+02,3.536558e+01,3.117159e+02,2.425766e+01
4,3.708889e+02,3.009504e+01,2.999832e+02,5.684342e-14,4.340275e+02,3.367251e+01,3.034468e+02,1.466124e+01
5,3.588411e+02,2.785046e+01,2.999832e+02,5.684342e-14,4.243376e+02,3.232698e+01,3.026699e+02,1.446805e+01
6,3.536333e+02,2.786644e+01,2.999832e+02,5.684342e-14,4.219429e+02,3.378770e+01,3.026699e+02,1.446805e+01
7,3.464568e+02,2.664158e+01,2.999832e+02,5.684342e-14,4.197798e+02,3.372922e+01,3.002216e+02,1.283667e+00
8,3.436899e+02,2.642704e+01,2.999832e+02,5.684342e-14,4.148393e+02,3.382207e+01,2.999832e+02,5.491596e-14
9,3.389659e+02,2.792258e+01,2.999832e+02,5.684342e-14,4.145958e+02,3.369050e+01,2.999832e+02,5.588800e-14
10,3.364843e+02,2.685297e+01,2.999832e+02,5.684342e-14,4.117794e+02,3.243971e+01,2.999832e+02,5.588800e-14
11,3.327798e+02,2.700990e+01,2.999832e+02,5.684342e-14,4.033612e+02,2.870420e+01,2.999832e+02,5.588800e-14
12,3.302958e+02,2.676716e+01,2.999832e+02,5.684342e-14,4.013979e+02,2.654977e+01,2.999832e+02,5.588800e-14
13,3.210755e+02,2.103111e+01,2.999832e+02,5.684342e-14,3.975358e+02,2.506741e+01,2.999832e+02,5.588800e-14
14,3.196483e+02,1.926953e+01,2.999832e+02,5.684342e-14,3.922484e+02,2.424149e+01,2.999832e+02,5.588800e-14
15,3.185946e+02,1.940647e+01,2.999832e+02,5.684342e-14,3.880944e+02,2.525329e+01,2.999832e+02,5.588800e-14
16,3.173375e+02,1.967111e+01,2.999832e+02,5.684342e-14,3.809575e+02,2.554113e+01,2.999832e+02,5.684342e-14
17,3.166258e+02,1.903059e+01,2.999832e+02,5.684342e-14,3.769142e+02,2.403217e+01,2.999832e+02,5.684342e-14
18,3.130787e+02,1.600475e+01,2.999832e+02,5.684342e-14,3.754086e+02,2.336091e+01,2.999832e+02,5.684342e-14
19,3.130420e+02,1.601708e+01,2.999832e+02,5.684342e-14,3.726063e+02,2.239151e+01,2.999832e+02,5.684342e-14
20,3.121705e+02,1.592001e+01,2.999832e+02,5.684342e-14,3.673826e+02,2.384081e+01,2.999832e+02,5.684342e-14
21,3.107183e+02,1.568504e+01,2.999832e+02,5.684342e-14,3.646602e+02,2.249733e+01,2.999832e+02,5.684342e-14
22,3.104432e+02,1.579813e+01,2.999832e+02,5.684342e-14,3.610342e+02,2.292764e+01,2.999832e+02,5.684342e-14
23,3.090475e+02,1.490215e+01,2.999832e+02,5.684342e-14,3.534222e+02,2.245594e+01,2.999832e+02,5.684342e-14
24,3.082505e+02,1.474587e+01,2.999832e+02,5.684342e-14,3.494143e+02,2.465215e+01,2.999832e+02,5.684342e-14
25,3.082505e+02,1.474587e+01,2.999832e+02,5.684342e-14,3.457961e+02,2.632819e+01,2.999832e+02,5.684342e-14
26,3.082505e+02,1.474587e+01,2.999832e+02,5.684342e-14,3.433437e+02,2.582153e+01,2.999832e+02,5.684342e-14
27,3.080122e+02,1.481960e+01,2.999832e+02,5.684342e-14,3.337323e+02,2.411087e+01,2.999832e+02,5.684342e-14
